venta_id,fecha,producto_id,cantidad,precio_unitario,cliente_id,vendedor
1044,2025-10-25,P003,1,4679823.81,C028,Luis Martínez
1045,2025-10-26,P012,1,1138313.5,C120,Pedro Gómez
1046,2025-10-30,P015,2,574178.02,,Luis Martínez
1047,2025-10-10,P010,2,836896.88,,Pedro Gómez
1048,2025-10-07,P017,4,2481819.0,C078,Luis Martínez
1049,2025-10-17,P001,1,1279977.07,C376,Ana Rodríguez
1050,2025-10-16,P010,1,779946.54,C224,María López
1051,2025-10-05,P017,1,2312710.18,,Luis Martínez
1052,2025-09-30,P009,2,1231718.78,C064,Ana Rodríguez
1053,2025-10-15,P003,1,4393737.53,,Ana Rodríguez
1054,2025-10-12,P018,1,1654025.31,C013,Juan Pérez
1055,2025-10-14,P013,1,337828.42,,María López
1056,2025-10-06,P006,1,650940.36,C229,Pedro Gómez
1057,2025-10-19,P005,1,338405.64,C467,Pedro Gómez
1058,2025-09-30,P020,1,1324095.54,C346,María López
1059,2025-10-19,P012,4,886270.56,C494,Ana Rodríguez
1060,2025-10-14,P002,1,1425909.01,C110,Ana Rodríguez
1061,2025-10-19,P009,1,1150679.65,C213,Ana Rodríguez
1062,2025-10-25,P005,1,365309.22,C067,Luis Martínez
1063,2025-10-22,P005,2,341212.6,,María López
1064,2025-10-08,P004,2,6073789.21,C408,María López
1065,2025-10-01,P016,2,2090425.56,,Ana Rodríguez
1066,2025-10-29,P014,3,546678.46,C075,Ana Rodríguez
1067,2025-10-28,P005,2,340662.17,C307,Luis Martínez
1068,2025-10-26,P020,2,1152473.49,,Luis Martínez
1069,2025-10-14,P004,4,6298737.66,,Pedro Gómez
1070,2025-10-28,P007,2,203832.79,C376,Luis Martínez
1071,2025-10-04,P014,1,543818.34,C058,María López
1072,2025-10-06,P002,1,1783486.27,,Pedro Gómez
1073,2025-10-22,P003,1,4477459.32,C107,Ana Rodríguez
1074,2025-10-19,P009,5,1140339.39,C462,Juan Pérez
1075,2025-09-30,P018,1,1644332.64,C058,Luis Martínez
1076,2025-10-15,P011,1,1320562.9,C166,Ana Rodríguez
1077,2025-10-29,P003,4,4568688.31,C470,María López
1078,2025-10-15,P008,1,181479.94,C052,Juan Pérez
1079,2025-10-18,P004,2,6003693.6,C043,Pedro Gómez
1080,2025-10-18,P012,4,1064476.03,C063,Ana Rodríguez
1081,2025-10-02,P006,2,641379.82,,Luis Martínez
1082,2025-10-12,P005,3,343859.27,C257,María López
1083,2025-10-27,P012,1,1067682.1,C118,María López
1084,2025-10-14,P016,1,2483093.61,C484,Ana Rodríguez
1085,2025-10-01,P007,4,293638.34,C139,Ana Rodríguez
1086,2025-10-18,P013,2,438821.31,,María López
1087,2025-10-07,P010,2,632379.66,C001,Ana Rodríguez
1088,2025-10-22,P003,3,3461406.28,C212,Ana Rodríguez
1089,2025-10-01,P005,3,349393.22,C096,Pedro Gómez
1090,2025-10-18,P007,1,209625.78,,María López
1091,2025-10-15,P020,4,1357544.42,C423,Juan Pérez
1092,2025-10-27,P006,1,633395.18,C248,Luis Martínez
1093,2025-10-30,P009,2,1163006.51,C411,Juan Pérez
1094,2025-10-01,P001,1,1516038.02,C237,Pedro Gómez
1095,2025-10-21,P001,1,1180347.67,C288,María López
1096,2025-10-23,P015,5,701329.19,C237,Pedro Gómez
1097,2025-10-21,P008,1,185808.72,C496,Ana Rodríguez
1098,2025-09-30,P015,3,664390.38,C344,Ana Rodríguez
1099,2025-10-30,P001,1,1512545.6,,Pedro Gómez
2000,2025-10-30,P999,1,100000.0,C001,Juan Pérez
2001,2025-10-30,P001,1,900000.0,C002,María López
1050,2025-10-30,P005,2,350000.0,C003,Pedro Gómez
